"Landscape Theme","Landscape Cluster","Civic Tech Organization1","Founding Year",Website
"Open Government","Public Decision Making","Survey Analytics, LLC (Ideascale)",2007,http://ideascale.com/
"Open Government","Public Decision Making","The OpenGov Foundation (Madison)",2011,http://opengovfoundation.org
"Open Government","Resident Feedback","Accela, Inc.",2000,http://www.accela.com
"Open Government","Resident Feedback","Be Counted, Represent (California Community Foundation)",N/A,http://www.calfund.org
"Open Government","Resident Feedback","Brightidea, Inc.",1999,http://www.brightidea.com
"Open Government","Resident Feedback",BuitenBeter,N/A,http://www.buitenbeter.nl/
"Open Government","Resident Feedback","CitySourced, Inc.",2009,http://www.citysourced.com
"Open Government","Resident Feedback","coUrbanize Inc.",2012,http://www.courbanize.com/
"Open Government","Resident Feedback","DotGov, Inc. (You Town)",2009,http://youtown.com/
"Open Government","Resident Feedback","Fix Our City - Chennai",N/A,http://www.fixourcity.org/
"Open Government","Resident Feedback","Hollaback, Inc.",2005,http://www.ihollaback.org
"Open Government","Resident Feedback","InfoNET Kenya (Hudama)",2006,http://infonet.or.ke
"Open Government","Resident Feedback","Janaagraha Centre for Citizenship and Democracy (I Change My City)",2001,http://www.janaagraha.org
"Open Government","Resident Feedback",MindMixer,2010,http://www.mindmixer.com
"Open Government","Resident Feedback","MyConversation Ltd",2009,http://www.mypolice.org
"Open Government","Resident Feedback","Open Data Cities S.L.",2011,http://reparaciudad.com
"Open Government","Resident Feedback","OpenWest Systems Inc. (Recollect)",2009,http://openwe.st
"Open Government","Resident Feedback","Patient Opinion Limited",2005,https://www.patientopinion.org.uk
"Open Government","Resident Feedback","Phone2Action, Inc.",2012,http://phone2action.com/
"Open Government","Resident Feedback","Popvox, Inc.",2010,http://www.popvox.com
"Open Government","Resident Feedback","PublicStuff, Inc.",2009,http://www.publicstuff.com
"Open Government","Resident Feedback","SeeClickFix, Inc.",2008,http://seeclickfix.com
"Open Government","Resident Feedback",Textizen,2013,https://www.textizen.com
"Open Government","Visualization & mapping","Azavea, Inc.",2000,http://www.azavea.com
"Open Government","Visualization & mapping","Civic Industries, LLC",2013,http://civicinsight.com/
"Open Government","Visualization & mapping","Crime Reports",2007,http://crimereports.com
"Open Government","Visualization & mapping",DataMade,2012,http://datamade.us/
"Open Government","Visualization & mapping",Datawrapper,1989,http://datawrapper.de
"Open Government","Visualization & Mapping","Development Seed, Inc. (OpenStreetMap)",2003,http://developmentseed.org
"Open Government","Visualization & mapping","DrawLive Ltd",2006,http://walkit.com
"Open Government","Visualization & Mapping","Environmental Systems Research Institute, Inc.",1969,http://www.esri.com/
"Open Government","Visualization & mapping","Fonds Society Technologies (GoMap Riga)",2009,http://gomap.org
"Open Government","Visualization & mapping","GreenInfo Network (Park Info)",1996,http://www.greeninfo.org
"Open Government","Visualization & mapping","Judicata, Inc.",2012,http://www.judicata.com
"Open Government","Visualization & Mapping","Mypp Media Limited",2011,http://www.buildingeye.com/
"Open Government","Visualization & Mapping","OpenGov, Inc.",2011,http://opengov.com/
"Open Government","Visualization & Mapping","Outline (Politify)",2013,http://outline.com/
"Open Government","Visualization & mapping",Placeways,2005,http://placeways.com/
"Open Government","Visualization & mapping","Poderopedia (Fundacion Poderomedia)",2011,http://www.poderopedia.org
"Open Government","Visualization & Mapping","Skytruth, Inc.",2001,http://www.skytruth.org
"Open Government","Visualization & Mapping",SnapSense,2011,http://www.snapsense.co/
"Open Government","Visualization & Mapping","Sourcemap, Inc.",2011,http://sourcemap.com
"Open Government","Visualization & Mapping",SpotCrime,2007,http://spotcrime.com/
"Open Government","Visualization & mapping","Stamen Design, LLC (CityTracking)",2001,http://www.stamen.com
"Open Government","Visualization & mapping","Stichting Govcom.org",1998,http://www.govcom.org
"Open Government","Visualization & mapping",Vizzuality,2007,http://www.vizzuality.com/
"Open Government",Voting,"Americans Elect Corp.",2010,http://www.americanselect.org/
"Open Government",Voting,"Democracy Ventures, Inc.",2012,http://Democracy.com
"Open Government",Voting,"ElectNext, Inc.",2011,http://www.electnext.com
"Open Government",Voting,"Grakon LLC",2002,http://grakon.org/
"Open Government",Voting,"Project Vote Smart",1992,http://votesmart.org/
"Open Government",Voting,"TrustTheVote (The Open Source Digital Voting Foundation)",2007,http://www.trustthevote.org/
"Open Government",Voting,TurboVote,2010,https://turbovote.org
"Open Government",Voting,"Voting Information Project",2009,https://votinginfoproject.org/projects
"Open Government",Voting,"Votizen, Incorporated",2009,http://www.votizen.com
"Open Government",Voting,"votoLatino (Silicon Valley Community Foundation)",2007,http://www.votolatino.org/
,,,,
,,,,
"Notes
1 - Organizations tab lists in parentheses the name of the relevant technology.
2 - Organizations acquired since the time of investment include: Behavio, Blockchalk, Cabj Liquidation, CityzenCar SAS,  Embark Inc., GoodGuide, Jumo, Votizen, Waze Mobile Limited, Wheelz.",,,,
