"Civic Tech Organization",Investor1,"Investor Type","Investment Type","Investment Date2","Investment Round - Total Funding3","Individual Investor Funding (if disclosed)","Investment Round"
"Amicus FTW Inc.","Garry Tan",Person,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","General Catalyst Partners, LLC",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Harj Taggar",Person,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","High Peaks Ventures",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","IA Ventures",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Omidyar Network Commons LLC",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.",Overall,NA,"Private Investment",2012/10/30,5435662,5435662,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Quotidian Ventures",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","RRE Ventures LLC",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Start Fund LLC",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","SV Angel",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amplify Labs","John S. and James L. Knight Foundation",Foundation,Grant,2012/10/01,300000,,"Amplify Labs Awarded John S. and James L. Knight Foundation Grant"
"Amplify Labs",Overall,NA,Grant,2012/10/01,300000,300000,"Amplify Labs Awarded John S. and James L. Knight Foundation Grant"
APPCityLife,Overall,NA,"Private Investment",2013/06/10,431162,431162,"APPCityLife Private Investment"
"Appfrica International","John S. and James L. Knight Foundation",Foundation,Grant,2013/01/01,150000,,"Appfrica International Awarded John S. and James L. Knight Foundation Grant"
"Appfrica International",Overall,NA,Grant,2013/01/01,150000,150000,"Appfrica International Awarded John S. and James L. Knight Foundation Grant"
AskThem.io,"John S. and James L. Knight Foundation",Foundation,Grant,2012/10/01,225000,,"OpenGovernment.org Awarded John S. and James L. Knight Foundation Grant"
AskThem.io,Overall,NA,Grant,2012/10/01,225000,225000,"OpenGovernment.org Awarded John S. and James L. Knight Foundation Grant"
"Aunt Bertha, Inc.","Code for America Labs, Inc.",Foundation,Grant,2012/08/03,25000,,"Aunt Bertha, Inc. Awarded Code for America Labs, Inc. Grant"
"Aunt Bertha, Inc.",Overall,NA,Grant,2012/08/03,25000,25000,"Aunt Bertha, Inc. Awarded Code for America Labs, Inc. Grant"
"Aunt Bertha, Inc.",Overall,NA,"Private Investment",2013/12/13,1000000,1000000,"Aunt Bertha, Inc. Private Investment"
"Azavea, Inc.","Alfred P. Sloan Foundation",Foundation,Grant,2011/02/01,125000,,"Azavea, Inc. Awarded Alfred P. Sloan Foundation Grant"
"Azavea, Inc.",Overall,NA,Grant,2011/02/01,125000,125000,"Azavea, Inc. Awarded Alfred P. Sloan Foundation Grant"
"Azavea, Inc.",Overall,NA,Grant,2011/04/01,50000,50000,"Azavea, Inc. Awarded William Penn Foundation Grant"
"Azavea, Inc.","William Penn Foundation",Foundation,Grant,2011/04/01,50000,,"Azavea, Inc. Awarded William Penn Foundation Grant"
"Azavea, Inc.",Overall,NA,Grant,2011/09/30,100000,100000,"Azavea, Inc. Awarded Phase I SBIR Grant"
"Azavea, Inc.","United States Department of Agriculture National Institute of Food and Agriculture
",Other,Grant,2011/09/30,100000,,"Azavea, Inc. Awarded Phase I SBIR Grant"
"Azavea, Inc.","Alfred P. Sloan Foundation",Foundation,Grant,2012/09/01,50000,,"Azavea, Inc. Awarded Alfred P. Sloan Foundation Grant"
"Azavea, Inc.",Overall,NA,Grant,2012/09/01,50000,50000,"Azavea, Inc. Awarded Alfred P. Sloan Foundation Grant"
"Azavea, Inc.",Overall,NA,Grant,2012/11/01,450000,450000,"Azavea, Inc. Awarded Phase II SBIR Grant"
"Azavea, Inc.","United States Department of Agriculture National Institute of Food and Agriculture
",Other,Grant,2012/11/01,450000,,"Azavea, Inc. Awarded Phase II SBIR Grant"
"Azavea, Inc.",Overall,NA,Grant,2013/04/02,150000,150000,"Azavea, Inc. Awarded Phase I SBIR Grant"
"Azavea, Inc.","United States Department of Agriculture National Institute of Food and Agriculture
",Other,Grant,2013/04/02,150000,,"Azavea, Inc. Awarded Phase I SBIR Grant"
"Behavio, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/06/18,355000,,"Behavio, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Behavio, Inc.",Overall,NA,Grant,2012/06/18,355000,355000,"Behavio, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Beneficent Technology, Inc.","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2011/01/01,650000,,"Beneficent Technology, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2011/01/01,650000,650000,"Beneficent Technology, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2012/07/15,50000,50000,"Beneficent Technology, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Beneficent Technology, Inc.","The William and Flora Hewlett Foundation",Foundation,Grant,2012/07/15,50000,,"Beneficent Technology, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Beneficent Technology, Inc.","Open Society Institute",Foundation,Grant,2012/08/14,73397,,"Beneficent Technology, Inc. Awarded Open Society Institute Grant"
"Beneficent Technology, Inc.","Open Society Institute",Foundation,Grant,2012/08/14,24944,,"Beneficent Technology, Inc. Awarded Open Society Institute Grant"
"Beneficent Technology, Inc.","Open Society Institute",Foundation,Grant,2012/08/14,100000,,"Beneficent Technology, Inc. Awarded Open Society Institute Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2012/08/14,73397,73397,"Beneficent Technology, Inc. Awarded Open Society Institute Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2012/08/14,24944,24944,"Beneficent Technology, Inc. Awarded Open Society Institute Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2012/08/14,100000,100000,"Beneficent Technology, Inc. Awarded Open Society Institute Grant"
"Beneficent Technology, Inc.","Bill & Melinda Gates Foundation Trust",Foundation,Grant,2012/10/01,250000,,"Beneficent Technology, Inc. Awarded Bill & Melinda Gates Foundation Trust Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2012/10/01,250000,250000,"Beneficent Technology, Inc. Awarded Bill & Melinda Gates Foundation Trust Grant"
"Beneficent Technology, Inc.",Overall,NA,Grant,2013/11/11,100000,100000,"Beneficent Technology, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Beneficent Technology, Inc.","The William and Flora Hewlett Foundation",Foundation,Grant,2013/11/11,100000,,"Beneficent Technology, Inc. Awarded The William and Flora Hewlett Foundation Grant"
BudgIT,Overall,NA,Grant,2011/10/14,7887,7887,"BudgIT Awarded The Indigo Trust Grant"
BudgIT,"The Indigo Trust",Financial,Grant,2011/10/14,7887,,"BudgIT Awarded The Indigo Trust Grant"
BudgIT,Overall,NA,Grant,2012/05/03,,,"BudgIT Awarded The Nigeria Internet Group Grant"
BudgIT,"The Nigeria Internet Group",Foundation,Grant,2012/05/03,,,"BudgIT Awarded The Nigeria Internet Group Grant"
BudgIT,"Open Knowledge Foundation",Foundation,Grant,2013/03/08,55263,,"BudgIT Awarded Open Knowledge Foundation and The Indigo Trust Grant"
BudgIT,Overall,NA,Grant,2013/03/08,55263,55263,"BudgIT Awarded Open Knowledge Foundation and The Indigo Trust Grant"
BudgIT,"The Indigo Trust",Financial,Grant,2013/03/08,55263,,"BudgIT Awarded Open Knowledge Foundation and The Indigo Trust Grant"
"carpooling.com GmbH",Ecosummit,Other,Grant,2012/03/26,3300,,"Carpooling.com Awarded Ecosummit Grant"
"carpooling.com GmbH",Overall,NA,Grant,2012/03/26,3300,3300,"Carpooling.com Awarded Ecosummit Grant"
"carpooling.com GmbH","Daimler AG",Corporate,"Private Investment",2012/07/26,10316000,10316000,"carpooling.com GmbH Series C"
"carpooling.com GmbH",Overall,NA,"Private Investment",2012/07/26,10316000,10316000,"carpooling.com GmbH Series C"
"Change by Us (CEOs For Cities)","John S. and James L. Knight Foundation",Foundation,Grant,2012/07/01,590000,,"CEOs For Cities Awarded John S. and James L. Knight Foundation Grant"
"Change by Us (CEOs For Cities)",Overall,NA,Grant,2012/07/01,590000,590000,"CEOs For Cities Awarded John S. and James L. Knight Foundation Grant"
"Change.org Inc.","Omidyar Network Commons LLC",Financial,"Private Investment",2013/05/21,15000000,,"Change.org Inc. Private Investment"
"Change.org Inc.",Overall,NA,"Private Investment",2013/05/21,15000000,15000000,"Change.org Inc. Private Investment"
"Change.org Inc.",Uprising,Financial,"Private Investment",2013/05/21,15000000,,"Change.org Inc. Private Investment"
"Citivox, Inc.",Overall,NA,Grant,2011/11/20,120000,120000,"Citivox, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Citivox, Inc.","The William and Flora Hewlett Foundation",Foundation,Grant,2011/11/20,120000,,"Citivox, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Citivox, Inc.",Overall,NA,"Private Investment",2012/06/11,180000,180000,"Citivox, Inc. Private Investment"
"Citizinvestor, Inc.","HyperVocal, LLC.",Corporate,Grant,2012/09/11,,,"Citizinvestor, Inc. Awarded HyperVocal, LLC. Grant"
"Citizinvestor, Inc.",Overall,NA,Grant,2012/09/11,,,"Citizinvestor, Inc. Awarded HyperVocal, LLC. Grant"
"Citizinvestor, Inc.","Dennis Hardiman",Person,"Private Investment",2013/04/01,150000,,"Citizinvestor, Inc. Private Investment"
"Citizinvestor, Inc.",Overall,NA,"Private Investment",2013/04/01,150000,150000,"Citizinvestor, Inc. Awarded HyperVocal, LLC. Grant"
"CitySourced, Inc.",Overall,NA,"Private Investment",2011/12/19,1330000,1330000,"Citizinvestor, Inc. Private Investment"
"Civic Insight","City of New Orleans and the New Orleans Redevelopment Authority",Other,Grant,2012/10/11,300000,25000,"Blight Status Awarded Grant from City of New Orleans, NORA, the Open Society Foundation, the Ford Foundation, and the Greater New Orleans Foundation"
"Civic Insight","Greater New Orleans Foundation",Foundation,Grant,2012/10/11,300000,125000,"Blight Status Awarded Grant from City of New Orleans, NORA, the Open Society Foundation, the Ford Foundation, and the Greater New Orleans Foundation"
"Civic Insight",Overall,NA,Grant,2012/10/11,300000,300000,"Blight Status Awarded Grant from City of New Orleans, NORA, the Open Society Foundation, the Ford Foundation, and the Greater New Orleans Foundation"
"Civic Insight","The Ford Foundation",Foundation,Grant,2012/10/11,300000,,"Blight Status Awarded Grant from City of New Orleans, NORA, the Open Society Foundation, the Ford Foundation, and the Greater New Orleans Foundation"
"Civic Insight","The Open Society Foundation",Foundation,Grant,2012/10/11,300000,150000,"Blight Status Awarded Grant from City of New Orleans, NORA, the Open Society Foundation, the Ford Foundation, and the Greater New Orleans Foundation"
"Civic Insight","John S. and James L. Knight Foundation",Foundation,Grant,2013/06/23,220000,,"Civic Insight Awarded John S. and James L. Knight Foundation Grant"
"Civic Insight",Overall,NA,Grant,2013/06/23,220000,220000,"Civic Insight Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.","Omidyar Network Commons LLC",Financial,Grant,2011/03/01,250000,,"Code for America Labs, Inc. Awarded Omidyar Network Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2011/03/01,250000,250000,"Code for America Labs, Inc. Awarded Omidyar Network Grant"
"Code for America Labs, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/01,235000,,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2011/06/01,235000,235000,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2011/07/01,750000,,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2011/07/01,750000,750000,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.","Ewing Marion Kauffman Foundation",Foundation,Grant,2011/09/06,135000,,"Code for America Labs, Inc. Awarded Ewing Marion Kauffman Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2011/09/06,135000,135000,"Code for America Labs, Inc. Awarded Ewing Marion Kauffman Foundation Grant"
"Code for America Labs, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2011/10/01,222000,,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2011/10/01,222000,222000,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.","Google Inc.",Foundation,Grant,2011/12/14,1500000,,"Code for America Labs, Inc. Awarded Google Inc. Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2011/12/14,1500000,1500000,"Code for America Labs, Inc. Awarded Google Inc. Grant"
"Code for America Labs, Inc.","Blue Ridge Foundation",Foundation,Grant,2012/01/01,50000,,"Code for America Labs, Inc. Awarded Blue Ridge Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2012/01/01,50000,50000,"Code for America Labs, Inc. Awarded Blue Ridge Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2012/07/15,50000,50000,"Code for America Labs, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Code for America Labs, Inc.","The William and Flora Hewlett Foundation",Foundation,Grant,2012/07/15,50000,,"Code for America Labs, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Code for America Labs, Inc.","Ewing Marion Kauffman Foundation",Foundation,Grant,2012/08/07,97000,,"Code for America Labs, Inc. Awarded Ewing Marion Kauffman Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2012/08/07,97000,97000,"Code for America Labs, Inc. Awarded Ewing Marion Kauffman Foundation Grant"
"Code for America Labs, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/12/10,5020000,,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2012/12/10,5020000,5020000,"Code for America Labs, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Code for America Labs, Inc.","Omidyar Network Commons LLC",Financial,Grant,2013/05/01,3000000,,"Code for America Labs, Inc. Awarded Omidyar Network Commons LLC Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2013/05/01,3000000,3000000,"Code for America Labs, Inc. Awarded Omidyar Network Commons LLC Grant"
"Code for America Labs, Inc.","Laura and John Arnold Foundation",Foundation,Grant,2013/08/16,300000,,"Code for America Labs, Inc. Awarded Laura and John Arnold Foundation Grant"
"Code for America Labs, Inc.","Laura and John Arnold Foundation",Foundation,Grant,2013/08/16,90000,,"Code for America Labs, Inc. Awarded Laura and John Arnold Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2013/08/16,300000,300000,"Code for America Labs, Inc. Awarded Laura and John Arnold Foundation Grant"
"Code for America Labs, Inc.",Overall,NA,Grant,2013/08/16,90000,90000,"Code for America Labs, Inc. Awarded Laura and John Arnold Foundation Grant"
"Comuto SAS","Accel Partners L.P.",Financial,"Private Investment",2012/01/17,9570750,,"Comuto SAS Private Investment"
"Comuto SAS","Cabiedes & Partners",Financial,"Private Investment",2012/01/17,9570750,,"Comuto SAS Private Investment"
"Comuto SAS",ISAI,Financial,"Private Investment",2012/01/17,9570750,,"Comuto SAS Private Investment"
"Comuto SAS",Overall,NA,"Private Investment",2012/01/17,9570750,9570750,"Comuto SAS Private Investment"
"CouchSurfing International Inc.","Benchmark Capital Management Co., LLC",Financial,"Private Investment",2011/08/25,,,"CouchSurfing International Inc. Series A"
"CouchSurfing International Inc.","Omidyar Network Commons LLC",Financial,"Private Investment",2011/08/25,7600000,,"CouchSurfing International Inc. Series A"
"CouchSurfing International Inc.",Overall,NA,"Private Investment",2011/08/25,7600000,7600000,"CouchSurfing International Inc. Series A"
"CouchSurfing International Inc.",Overall,NA,"Private Investment",2012/01/24,,,"CouchSurfing International Inc. Series A Extension"
"CouchSurfing International Inc.","Point Nine Capital",Financial,"Private Investment",2012/01/24,,,"CouchSurfing International Inc. Series A Extension"
"CouchSurfing International Inc.","Benchmark Capital Management Co., LLC",Financial,"Private Investment",2012/08/16,14999999,,"CouchSurfing International Inc. Series B"
"CouchSurfing International Inc.","General Catalyst Partners, LLC",Financial,"Private Investment",2012/08/16,14999999,,"CouchSurfing International Inc. Series B"
"CouchSurfing International Inc.","Menlo Ventures",Financial,"Private Investment",2012/08/16,14999999,,"CouchSurfing International Inc. Series B"
"CouchSurfing International Inc.","Omidyar Network Commons LLC",Financial,"Private Investment",2012/08/16,14999999,,"CouchSurfing International Inc. Series B"
"CouchSurfing International Inc.",Overall,NA,"Private Investment",2012/08/16,14999999,14999999,"CouchSurfing International Inc. Series B"
"coUrbanize Inc.",Overall,NA,"Private Investment",2013/02/25,20000,20000,"coUrbanize Inc. Seed Investment"
"coUrbanize Inc.","TechStars, LLC",Financial,"Private Investment",2013/02/25,20000,,"coUrbanize Inc. Seed Investment"
"coUrbanize Inc.",Overall,NA,"Private Investment",2013/10/11,1000000,1000000,"coUrbanize Inc. Seed Investment"
"Crowdring (Purpose Global, LLC)",Overall,NA,"Private Investment",2012/01/01,2500000,2500000,"Purpose Global, LLC Private Investment"
"Dallant Networks, LLC",Overall,NA,Grant,2011/01/01,530000,530000,"Dallant Networks, LLC Awarded The Ford Foundation Grant"
"Dallant Networks, LLC","The Ford Foundation",Foundation,Grant,2011/01/01,530000,,"Dallant Networks, LLC Awarded The Ford Foundation Grant"
"Data Docs","John S. and James L. Knight Foundation",Foundation,Grant,2013/06/23,46700,,"Department of Better Technology, LLC Awarded John S. and James L. Knight Foundation Grant"
"Data Docs",Overall,NA,Grant,2013/06/23,46700,46700,"Department of Better Technology, LLC Awarded John S. and James L. Knight Foundation Grant"
Datawrapper,"African News Innovation Challenge",Foundation,Grant,2012/11/27,,,"Datawrapper Awarded African News Innovation Challenge Grant"
Datawrapper,Overall,NA,Grant,2012/11/27,,,"Datawrapper Awarded African News Innovation Challenge Grant"
"Democracy Ventures, Inc.",Overall,NA,"Private Investment",2013/10/09,2000000,2000000,"Democracy Ventures, Inc. Seed Investment"
"Democratic City","Omidyar Network Commons LLC",Corporate,Grant,2012/09/28,202500,,"Democratic City Awarded Omidyar Network Grant"
"Democratic City",Overall,NA,Grant,2012/09/28,202500,202500,"Democratic City Awarded Omidyar Network Grant"
"Department of Better Technology, LLC","John S. and James L. Knight Foundation",Foundation,Grant,2013/10/03,460000,,"Department of Better Technology, LLC Awarded John S. and James L. Knight Foundation Grant"
"Department of Better Technology, LLC",Overall,NA,Grant,2013/10/03,460000,460000,"Department of Better Technology, LLC Awarded John S. and James L. Knight Foundation Grant"
"Detroit SOUP","John S. and James L. Knight Foundation",Foundation,Grant,2012/08/01,80000,,"Detroit SOUP Awarded John S. and James L. Knight Foundation Grant"
"Detroit SOUP",Overall,NA,Grant,2012/08/01,80000,80000,"Detroit SOUP Awarded John S. and James L. Knight Foundation Grant"
"Detroit SOUP","John S. and James L. Knight Foundation",Foundation,Grant,2013/09/07,12000,,"Detroit SOUP Awarded John S. and James L. Knight Foundation Grant"
"Detroit SOUP",Overall,NA,Grant,2013/09/07,12000,12000,"Detroit SOUP Awarded John S. and James L. Knight Foundation Grant"
"Development Seed, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/10/01,575000,,"Development Seed, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Development Seed, Inc.",Overall,NA,Grant,2012/10/01,575000,575000,"Development Seed, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Digital Democracy USA, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2013/01/01,200000,,"Digital Democracy USA, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Digital Democracy USA, Inc.",Overall,NA,Grant,2013/01/01,200000,200000,"Digital Democracy USA, Inc. Awarded John S. and James L. Knight Foundation Grant"
eCitizens,"John S. and James L. Knight Foundation",Foundation,Grant,2013/02/01,47900,,"DataJuncture, Inc. Awarded John S. and James L. Knight Foundation Grant"
eCitizens,Overall,NA,Grant,2013/02/01,47900,47900,"DataJuncture, Inc. Awarded John S. and James L. Knight Foundation Grant"
"eGood, Corporation",Overall,NA,"Private Investment",2013/09/03,3000000,3000000,"eGood Corporation Private Investment"
"ElectNext, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/07/01,150000,,"ElectNext, Inc. Awarded John S. and James L. Knight Foundation Grant"
"ElectNext, Inc.",Overall,NA,Grant,2012/07/01,150000,150000,"ElectNext, Inc. Awarded John S. and James L. Knight Foundation Grant"
"ElectNext, Inc.","Brooklyn Bridge Ventures",Financial,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.","Comcast Ventures",Corporate,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.","Digital News Ventures",Financial,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.","Gabriel Investments",Financial,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.","Investors' Circle",Financial,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.","John S. and James L. Knight Foundation",Foundation,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.","Liberty City Ventures",Financial,"Private Investment",2013/04/02,1500000,,"ElectNext, Inc. Seed Investment"
"ElectNext, Inc.",Overall,NA,"Private Investment",2013/04/02,1500000,1500000,"ElectNext, Inc. Seed Investment"
"Embark, Inc.",Overall,NA,"Private Investment",2012/01/01,,,"Embark, Inc. Seed Investment"
"Embark, Inc.","Y Combinator",Financial,"Private Investment",2012/01/01,,,"Embark, Inc. Seed Investment"
"Embark, Inc.","BMW i Ventures",Corporate,"Private Investment",2012/11/13,,,"Embark, Inc. Seed Investment"
"Embark, Inc.",Overall,NA,"Private Investment",2012/11/13,,,"Embark, Inc. Seed Investment"
"Enigma Technologies, Inc.","CrossLink Capital, Inc.",Financial,"Private Investment",2012/04/04,1450000,1450000,"Enigma Technologies, Inc. Seed Investment"
"Enigma Technologies, Inc.",Overall,NA,"Private Investment",2012/04/04,1450000,1450000,"Enigma Technologies, Inc. Seed Investment"
"Enigma Technologies, Inc.","The New York Times Company",Corporate,"Private Investment",2012/04/04,1450000,,"Enigma Technologies, Inc. Seed Investment"
"Enigma Technologies, Inc.","TriplePoint Ventures",Financial,"Private Investment",2012/04/04,1450000,,"Enigma Technologies, Inc. Seed Investment"
"Enigma Technologies, Inc.",Overall,NA,Grant,2013/05/02,50000,50000,"Enigma Technologies, Inc. Awarded TechCrunch Disrupt Prize"
"Enigma Technologies, Inc.","TechCrunch Disrupt",Financial,Grant,2013/05/02,50000,,"Enigma Technologies, Inc. Awarded TechCrunch Disrupt Prize"
"Flagstaff Emergency Information Source (The Arizona Community Foundation)","John S. and James L. Knight Foundation",Foundation,Grant,2012/07/01,57000,,"The Arizona Community Foundation, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Flagstaff Emergency Information Source (The Arizona Community Foundation)",Overall,NA,Grant,2012/07/01,57000,57000,"The Arizona Community Foundation, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Floodlight (The Piton Foundation)","John S. and James L. Knight Foundation",Foundation,Grant,2011/07/01,202000,,"The Piton Foundation Awarded John S. and James L. Knight Foundation Grant"
"Floodlight (The Piton Foundation)",Overall,NA,Grant,2011/07/01,202000,202000,"The Piton Foundation Awarded John S. and James L. Knight Foundation Grant"
"FOIA Machine (Center for Investigative Reporting)","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2012/02/16,1000000,,"Center for Investigative Reporting, Inc. Awarded John D. and Catherine T. MacArthur Foundation"
"FOIA Machine (Center for Investigative Reporting)",Overall,NA,Grant,2012/02/16,1000000,1000000,"Center for Investigative Reporting, Inc. Awarded John D. and Catherine T. MacArthur Foundation"
